id,user_id,question_id,test_date
22,16,162,2023-12-24 21:49:16.149785+00:00
23,16,167,2023-12-24 21:49:16.188560+00:00
24,16,162,2023-12-24 21:50:03.394493+00:00
25,16,167,2023-12-24 21:50:03.443984+00:00
26,16,162,2023-12-24 21:51:06.715565+00:00
27,16,167,2023-12-24 21:51:06.756215+00:00
33,16,162,2023-12-24 21:55:00.999060+00:00
35,17,362,2023-12-25 03:39:41.583963+00:00
36,17,474,2023-12-25 03:39:41.625114+00:00
37,5,163,2023-12-25 03:40:49.477164+00:00
38,5,164,2023-12-25 03:40:49.511223+00:00
39,5,165,2023-12-25 03:40:49.541333+00:00
40,5,166,2023-12-25 03:40:49.568654+00:00
41,5,168,2023-12-25 03:40:49.596672+00:00
42,5,174,2023-12-25 03:40:49.625151+00:00
43,5,176,2023-12-25 03:40:49.650819+00:00
44,5,180,2023-12-25 03:40:49.680563+00:00
45,5,183,2023-12-25 03:40:49.708236+00:00
46,5,186,2023-12-25 03:40:49.734770+00:00
47,5,187,2023-12-25 03:40:49.765005+00:00
48,5,188,2023-12-25 03:40:49.792943+00:00
49,5,192,2023-12-25 03:40:49.822109+00:00
50,5,193,2023-12-25 03:40:49.849016+00:00
51,5,194,2023-12-25 03:40:49.875828+00:00
52,5,195,2023-12-25 03:40:49.904166+00:00
53,5,199,2023-12-25 03:40:49.931530+00:00
54,5,201,2023-12-25 03:40:49.960649+00:00
55,5,204,2023-12-25 03:40:49.990239+00:00
56,5,206,2023-12-25 03:40:50.018595+00:00
57,5,207,2023-12-25 03:40:50.048278+00:00
58,5,210,2023-12-25 03:40:50.077987+00:00
59,5,217,2023-12-25 03:40:50.105632+00:00
60,5,218,2023-12-25 03:40:50.132481+00:00
61,5,219,2023-12-25 03:40:50.160169+00:00
62,5,224,2023-12-25 03:40:50.188403+00:00
63,5,225,2023-12-25 03:40:50.218612+00:00
64,5,227,2023-12-25 03:40:50.247551+00:00
65,5,228,2023-12-25 03:40:50.274944+00:00
